Geneid	D35Ctrl_222_Aligned	D35Ctrl_322_Aligned	D35Ctrl_323_Aligned	D35GAF7_322_Aligned	D35GAF7_323_Aligned	D35GAG5_222_Aligned	D35GAG5_322_Aligned	D35GAG5_323_Aligned	D35RCD5_222_Aligned	D35RCD5_322_Aligned	D35RCD5_323_Aligned	D35RCG3_222_Aligned	D35RCG3_322_Aligned	D35RCG3_323_Aligned	D65Ctrl_1123_Aligned	D65Ctrl_222_Aligned	D65Ctrl_423_Aligned	D65GAF7_222_Aligned	D65GAF7_423_Aligned	D65GAG5_423_Aligned	D65GA_1123_Aligned	D65RCD5_423_Aligned	D65RCG3_222_Aligned	D65RCG3_423_Aligned	D65RC_1123_Aligned
BCDIN3D	157	196	195	181	198	118	203	231	90	122	169	107	203	219	182	105	162	188	172	198	116	218	93	280	165
FAIM2	69	1215	1377	340	503	55	418	648	35	239	452	8	311	384	1106	483	735	412	713	924	1002	890	38	851	805
LINC02396	0	5	0	1	2	1	3	3	0	0	1	1	0	0	2	0	1	0	2	1	0	0	0	0	1
LINC02395	1	2	0	1	0	0	2	0	0	0	0	0	0	3	5	0	1	1	0	0	1	2	0	1	1
LOC124902930	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	2	3	2	0	1	0
LOC105369763	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	1	2	3	1	0	1	1
AQP2	0	0	0	8	0	1	1	0	0	1	1	0	0	0	0	0	2	0	1	0	1	5	1	0	0
AQP5-AS1	0	1	0	2	2	0	3	2	1	8	2	0	3	1	0	0	0	2	1	2	0	6	1	3	1
AQP5	3	4	2	30	1	7	7	11	10	20	7	2	14	16	1	2	0	7	1	0	1	11	11	2	0
LOC105369764	0	2	0	3	1	0	1	1	0	1	3	3	0	3	0	0	0	1	1	1	2	1	0	0	1
AQP6	3	0	7	7	2	2	9	5	11	21	3	2	8	7	0	0	1	6	2	2	1	4	1	3	2
RACGAP1	2729	3256	2731	1240	2232	2143	1431	2547	2657	1520	1987	1879	1746	2129	1554	1168	2440	1922	1600	1275	1062	1664	846	1639	2104
ASIC1	743	2469	2680	1372	1110	702	871	1493	1257	789	992	231	1123	1203	2109	950	2854	1355	2136	2045	1367	2376	371	2661	2163
SMARCD1	5051	6130	4870	4086	4801	3836	4246	4751	5199	3797	4188	3626	4298	4499	3770	3115	3987	4801	3425	3099	2933	3892	2694	4320	4305
GPD1	18	20	24	25	16	22	17	23	10	33	17	27	27	17	284	10	81	23	194	144	131	214	60	248	256
COX14	263	290	207	339	202	207	243	209	238	345	198	368	417	280	368	287	254	421	217	175	343	349	378	278	188
CERS5	1424	1760	1718	1324	1390	1294	1113	1375	1260	927	1237	2309	1901	1406	1477	1903	2067	2544	1532	1599	1489	1518	1631	1971	1852
LOC124902931	35	21	53	32	44	32	41	40	23	35	36	53	39	38	33	59	40	83	61	54	59	58	31	95	66
LIMA1	1560	488	462	369	483	1978	337	423	1300	332	403	2641	2323	523	625	1911	771	4133	533	464	339	746	4072	701	669
MIR1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
LOC107984505	11	1	7	19	9	6	12	6	12	3	11	7	7	10	8	10	4	11	6	4	4	4	10	3	7
FAM186A	0	2	2	3	12	1	5	1	6	2	4	15	3	1	3	2	0	0	6	6	1	3	2	10	8
LARP4	2564	1524	1613	1270	1240	2465	1152	1497	2361	1051	1176	2658	1620	1430	1343	1608	1246	2518	1018	956	1137	1415	1554	1565	1406
SNORD133	5	9	6	1	6	6	5	3	4	5	3	12	12	4	1	5	8	1	3	7	10	4	7	8	5
DIP2B	2387	4406	4320	2324	3534	2343	2824	3858	1958	2751	2834	2456	3150	3215	5190	2805	4764	4672	4414	4001	3775	5312	2063	5467	3823
LOC124902932	2	3	4	10	4	6	4	8	3	4	3	4	9	11	6	5	9	17	10	3	5	3	5	12	6
ATF1	441	419	366	466	403	482	454	455	529	413	409	853	561	533	420	373	415	634	389	304	310	462	498	503	444
TMPRSS12	1	0	0	0	0	0	0	0	1	1	2	4	1	0	0	2	0	0	0	1	0	0	0	0	1
TMT1A	42	84	37	415	355	78	219	230	28	202	211	67	286	611	255	96	305	229	257	238	183	330	77	512	233
HIGD1C	14	25	44	18	21	27	15	34	18	10	13	25	35	30	37	23	24	40	27	20	23	26	23	40	48
SLC11A2	971	1719	1739	1196	1489	1246	1341	1699	1105	1300	1399	1045	1855	1820	1977	1258	1449	2470	1626	1750	1533	2131	1242	2207	1778
LETMD1	679	1181	972	1364	1321	639	1413	1329	715	1402	1235	797	1291	1488	2001	727	930	1368	1011	1435	1729	1608	709	1582	1062
CSRNP2	1489	3100	3246	1809	2059	1642	1771	2122	1406	1145	1659	2188	2409	2211	2737	2015	2503	3346	2116	2586	1982	2327	1815	3373	3661
TFCP2	1263	1789	1814	1419	1589	1284	1295	1813	1479	924	1444	1383	1743	1729	1069	621	1104	1414	997	1176	979	1223	711	1527	1403
LOC124902933	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
POU6F1	496	1432	1402	623	1000	393	804	1041	390	752	719	299	677	931	2309	584	1844	1090	1649	2004	1502	2105	327	2682	1645
DAZAP2	2461	3080	2325	3553	3125	2363	3006	2764	2237	3480	2677	3397	3210	3292	3592	2486	3278	4165	2667	2439	2948	3393	2598	3716	2319
SMAGP	38	12	10	20	24	35	10	11	80	14	9	63	55	27	26	11	17	33	19	10	13	24	50	16	5
BIN2	0	3	2	0	0	0	2	2	0	2	0	1	0	0	14	0	1	0	1	3	4	1	0	9	1
LOC105369767	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
CELA1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
GALNT6	0	1	0	4	0	10	0	0	7	5	0	189	87	2	15	0	15	5	6	10	4	8	55	5	1
SLC4A8	1895	6353	6046	4071	6874	1311	4953	6373	1242	3554	5258	610	2889	5326	4721	2672	5246	4485	4748	4985	3430	5598	626	6406	4791
SLC4A8-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SCN8A	861	1864	2289	883	1611	751	1147	1696	759	711	1289	761	1087	1574	2334	1023	2728	1700	2086	2638	1811	2390	471	3048	2317
TMDD1	12	1	2	3	22	9	18	3	8	3	3	6	6	15	9	17	1	35	4	3	4	6	3	5	2
FIGNL2	991	121	102	423	604	707	890	254	1293	1060	513	466	796	476	195	382	115	922	115	66	95	145	277	129	32
FIGNL2-DT	18	5	2	21	14	26	15	17	19	14	18	27	38	26	6	24	6	82	7	3	1	2	19	7	6
ANKRD33	0	0	0	2	6	0	5	3	0	2	3	0	3	7	12	0	7	1	3	5	5	4	7	5	1
ACVRL1	2	2	2	9	11	4	4	8	0	0	3	26	27	14	4	5	2	2	3	8	6	5	1	3	0
ACVR1B	1483	3419	2975	3018	2640	1295	2226	2612	1466	1862	2167	1378	2536	2877	3416	1725	3915	2858	2927	3598	3454	3650	1018	4539	2779
TAMALIN-AS1	14	10	27	5	13	8	15	20	4	7	16	16	21	25	18	12	42	24	14	23	11	23	6	19	17
TAMALIN	23	106	98	101	189	61	198	110	40	177	137	191	400	182	234	86	159	188	124	113	103	292	233	137	80
LOC124902934	0	0	0	1	0	0	0	0	2	1	1	1	0	0	2	1	1	5	3	1	4	2	0	1	3
NR4A1	545	374	356	394	471	254	529	449	466	577	399	570	330	373	1233	240	934	393	771	725	983	1190	169	1021	539
LOC107984510	14	11	8	12	15	9	18	17	14	16	10	25	12	16	25	11	32	27	21	10	20	23	1	26	15
NR4A1AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG101	840	881	659	771	575	934	602	557	925	775	484	1311	1033	735	1108	860	819	1228	664	595	861	1100	936	999	708
SMIM41	0	0	0	0	0	1	1	0	2	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
OR7E47P	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268096	2	0	0	0	2	1	0	2	2	0	0	6	2	0	0	0	0	2	2	1	0	0	0	0	0
KRT80	15	21	14	11	2	194	1	2	16	5	2	893	154	5	15	77	2	476	3	5	12	18	1582	3	4
LINC02874	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	10	0	0
LINC00592	0	0	0	0	0	0	1	0	0	0	0	2	2	2	0	2	0	5	0	0	0	1	3	0	0
KRT7	7	40	16	34	7	301	2	3	12	6	6	1940	942	11	7	49	5	1265	8	16	19	7	10023	1	6
KRT7-AS	0	0	1	0	2	7	0	0	1	0	0	36	13	0	0	5	0	19	0	1	0	0	157	0	0
KRT87P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
KRT86	0	1	13	54	2	10	6	4	2	9	6	8	29	13	6	4	3	16	1	0	0	1	17	0	0
KRT81	0	2	0	46	0	2	7	1	0	13	0	2	23	15	0	8	0	106	0	0	1	0	143	0	0
LOC124902935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
KRT85	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
KRT84	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
KRT82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT75	0	0	0	4	0	7	0	0	3	0	0	0	3	2	2	8	0	9	1	1	1	0	5	0	14
KRT6B	0	3	2	0	1	16	0	0	2	0	0	2	16	0	0	5	0	9	0	0	0	0	0	0	1
KRT6C	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0
KRT6A	2	3	6	0	0	35	0	1	18	0	0	1	102	0	0	7	1	15	0	4	0	0	0	0	1
KRT5	0	1	18	6	10	9	1	10	5	2	0	1	175	14	16	5	17	13	14	12	8	8	0	42	8
KRT71	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0
KRT74	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0
KRT72	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0
KRT73	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0
KRT73-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KRT1	0	0	33	1	6	0	0	3	0	0	0	0	17	0	0	7	0	1	0	0	0	0	0	0	0
KRT77	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KRT76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT3	0	0	1	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0
KRT4	0	0	0	0	0	14	0	0	2	0	0	19	26	0	0	0	0	2	0	0	0	0	0	0	0
KRT79	0	1	0	3	0	1	0	0	0	0	0	1	4	0	0	1	0	1	0	0	0	0	1	0	0
KRT78	0	1	0	2	0	1	0	0	0	1	0	5	2	0	0	1	0	0	0	1	0	0	0	0	2
KRT8	1458	1400	420	3595	494	27177	639	629	6064	2110	595	57712	23492	1454	409	1404	73	27125	76	149	284	401	35728	147	33
MIR9898	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0
KRT18	783	513	177	1437	208	15637	181	327	3221	608	206	27463	11141	664	326	2597	64	24765	60	83	183	237	21526	77	64
EIF4B	11084	18179	13295	16085	16660	10951	16694	18303	11042	16935	15252	11272	17386	16143	31650	9667	25461	18224	17803	17513	23654	23249	11848	24618	13736
TNS2-AS1	36	105	85	115	112	45	72	128	42	47	109	79	109	116	103	44	88	112	126	117	151	96	103	152	81
TNS2	41	273	284	347	125	203	107	202	74	90	166	323	1070	477	381	203	307	435	308	472	371	440	533	600	442
MIR6757	0	0	4	0	1	0	0	0	0	0	1	1	0	0	2	1	1	3	2	2	0	2	2	6	5
SPRYD3	512	813	607	988	513	807	576	535	464	739	479	1085	1027	692	865	768	531	1554	820	942	845	886	1073	1439	886
IGFBP6	21	44	13	1279	16	170	96	25	23	959	25	828	388	220	24	17	15	51	23	7	21	55	700	31	6
SOAT2	0	3	0	0	0	0	0	0	2	0	0	6	7	0	2	2	0	1	0	2	0	0	4	0	0
LOC124902936	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0
CSAD	498	1487	2222	1577	2002	418	1405	2100	375	1249	1862	406	1660	2420	1775	1120	3553	1668	2768	2766	2189	2494	759	3577	2320
ZNF740	907	1996	1736	1934	1611	886	1678	1744	997	1794	1529	1099	1950	1864	1349	1026	1252	1743	1166	1005	916	1467	1067	1441	1380
ITGB7	3	14	3	98	23	5	26	16	12	49	22	4	32	38	1	4	5	4	17	5	7	16	2	6	5
RARG	40	130	111	212	173	117	164	209	63	196	251	216	782	250	642	284	434	292	344	322	327	704	456	454	221
LOC122455340	2	0	0	1	1	0	4	2	2	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0
MFSD5	589	557	412	424	294	551	265	308	607	218	246	820	690	470	277	528	252	759	212	196	232	298	657	344	384
ESPL1	622	980	675	283	531	589	283	641	706	282	453	278	408	595	73	231	282	440	231	184	56	175	112	191	366
PFDN5	0	2	2	3	1	0	0	1	0	0	0	0	0	3	3	0	1	2	0	0	0	5	0	0	1
MYG1	1	1	1	0	0	1	3	0	0	0	0	0	3	3	3	0	0	0	0	1	2	2	1	2	4
AAAS	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP1	3009	3841	3368	3075	3735	3021	3497	4080	3116	3460	3372	3409	3977	4159	3536	2245	3579	3914	2632	2115	2668	4010	2687	3560	2566
AMHR2	2	0	0	7	2	1	3	0	1	10	0	8	58	3	1	1	3	10	1	0	0	2	3	2	0
PRR13	1277	683	430	1112	677	1110	593	605	987	747	552	1573	1173	776	711	999	632	1555	566	542	690	680	1494	733	467
PCBP2	10741	14040	9936	14886	14666	10470	15526	13235	11583	15766	13003	11852	12844	14445	18069	8454	13873	14672	11127	9174	10153	13354	9437	13711	9679
PCBP2-OT1	14	5	12	12	25	10	48	9	9	46	16	13	10	12	73	15	55	16	22	20	111	68	3	35	7
MAP3K12	675	1859	1692	1983	1798	596	1514	1625	494	1496	1672	900	2069	2521	1309	1262	1342	1987	1279	1212	1071	1659	900	1653	1650
TARBP2	896	980	694	800	564	783	699	621	915	631	544	915	924	717	352	615	328	968	369	336	334	360	551	453	503
ATF7-NPFF	2	1	1	0	0	0	1	1	1	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	6
NPFF	23	16	34	11	14	15	6	23	15	3	12	29	27	27	13	30	16	46	15	14	8	9	51	23	46
ATF7	487	555	474	552	645	461	534	642	481	503	546	656	764	714	635	553	701	910	534	464	474	597	580	751	560
LOC100652999	2	1	2	1	4	0	0	4	2	0	1	3	3	3	1	4	0	2	0	1	1	2	1	2	6
LOC124902937	1	3	3	1	17	4	6	6	3	7	4	2	6	4	3	8	5	9	3	3	2	6	2	0	3
LOC124902938	2	3	5	10	4	4	10	9	5	9	7	3	7	5	20	3	10	5	8	9	9	19	3	14	3
ATP5MC2	4169	4916	3374	4723	4262	3229	4252	3942	4257	4462	4206	3304	4515	4037	4320	2139	3859	3662	2950	2438	3245	3655	2528	3563	2762
CALCOCO1	735	2115	2001	2765	2387	705	2282	2289	398	2192	1967	1406	2800	2781	2744	1910	1986	2637	1905	2240	1479	2392	1890	2375	2275
LOC105369774	1	0	2	0	0	1	2	0	0	2	0	1	0	0	0	0	1	0	0	0	1	3	0	0	0
LOC105378250	1	32	37	2	14	1	3	34	1	0	14	4	6	9	8	10	4	11	10	29	3	14	1	13	8
CISTR	0	0	1	0	1	0	0	0	1	0	1	10	1	0	0	1	0	3	1	4	0	0	1	0	1
HOXC13-AS	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
HOXC13	0	1	1	0	0	0	0	3	0	0	0	4	2	1	2	0	0	1	0	4	0	6	2	5	1
LOC105369775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOTAIR	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0
HOXC11	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	0
HOXC-AS3	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
HOXC10	0	2	2	0	5	0	0	3	1	0	1	0	100	0	16	1	24	0	10	15	9	9	2	14	4
MIR196A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC-AS2	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	2	0	0	0	0	1	0
HOXC-AS1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	1	1	0	0
HOXC9	0	2	0	0	0	1	0	1	0	0	0	0	134	0	0	0	1	1	1	4	0	2	18	7	0
HOXC8	0	1	1	0	0	4	0	0	1	0	0	5	221	0	1	0	3	9	0	6	1	1	116	2	0
LOC124902939	0	0	0	0	0	2	0	0	0	0	0	0	20	0	0	0	1	1	3	0	0	0	6	0	0
HOXC4	2	1	0	5	2	1027	3	0	3	3	11	92	251	82	26	4	2	2334	1	0	0	14	350	74	0
HOXC5	0	0	0	0	1	534	0	0	0	0	6	47	90	65	0	0	3	1030	0	0	0	5	144	57	0
HOXC6	0	0	0	0	0	89	0	0	0	0	0	20	347	3	0	0	0	339	0	0	0	1	187	11	0
MIR615	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	2	0	0
FLJ12825	2	1	2	18	3	668	13	9	2	13	23	36	39	35	4	3	7	570	2	6	5	12	138	4	4
LOC100240735	2	0	2	0	0	64	2	0	1	1	0	20	42	10	1	1	1	218	4	0	1	0	46	2	0
LOC100240734	0	0	0	0	0	53	1	0	0	0	0	2	5	0	1	0	0	49	0	0	0	0	19	0	0
FAM242C	0	0	2	5	3	20	4	3	0	3	4	7	7	4	1	2	2	77	0	0	1	0	7	3	2
LINC02381	5	17	4	79	58	1586	95	13	10	102	72	145	463	163	45	14	4	2952	10	12	11	41	601	70	9
SMUG1-AS1	4	6	10	11	13	46	23	15	2	24	15	5	37	25	18	15	11	75	16	12	12	23	21	22	12
SMUG1	534	863	699	662	565	474	543	605	478	512	518	494	845	689	394	562	360	943	358	404	340	414	474	529	642
LOC102724030	0	0	1	8	3	6	0	0	1	4	2	1	2	1	3	0	1	5	0	0	2	5	2	2	2
LOC105369777	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	4	0	0	0	1	0	0	1
CBX5	16251	28659	21416	18564	19403	14207	16196	22868	18593	12768	16608	13274	18346	21002	12726	11030	17053	17904	13676	13036	9627	15431	7057	18035	15216
MIR3198-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAT2	47	19	11	11	16	29	29	17	22	15	7	30	21	14	20	23	21	38	17	7	37	16	23	18	11
HNRNPA1	44349	56881	52215	31971	45277	39441	37927	54221	44979	30318	42728	35542	53882	46146	19959	22270	40632	43038	28030	24189	16513	25876	24000	33662	42076
NFE2	0	6	2	27	3	2	5	6	5	12	4	9	40	12	1	6	3	22	1	5	3	8	14	9	2
COPZ1	1691	1939	1409	2063	1805	1531	1925	1652	1764	2226	1386	1626	2078	1776	1624	1340	1659	2040	1344	1289	1575	1863	1410	1696	1240
MIR148B	0	0	1	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0
GPR84	4	4	2	3	7	5	1	7	1	3	5	5	3	12	5	5	1	3	4	4	5	3	1	8	5
GPR84-AS1	2	1	3	1	2	1	5	5	9	5	4	5	5	2	6	8	2	8	2	5	3	3	1	7	1
ZNF385A	692	649	512	955	847	482	801	750	448	747	840	453	972	952	803	617	711	794	774	717	808	708	734	821	483
ITGA5	1462	236	99	1173	766	2079	1015	464	1567	1225	521	2389	3464	869	204	2680	104	3749	171	168	215	328	3309	388	153
GTSF1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	0	1	1	0	0	0
NCKAP1L	0	9	4	16	14	2	16	16	4	27	15	5	4	10	59	1	43	9	29	50	133	30	4	47	8
PDE1B	118	315	384	231	246	75	226	227	195	212	256	37	147	208	198	142	103	134	118	114	274	153	43	196	64
PPP1R1A	280	658	639	634	940	177	906	655	388	830	919	135	363	558	885	399	458	230	621	569	760	736	65	994	406
GLYCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCD	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0
MUCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TESPA1	1	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107984515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROD4	335	519	433	163	449	205	307	377	399	145	368	21	263	485	79	151	246	148	150	61	21	96	94	280	504
LOC101927484	3	1	0	1	1	0	1	0	3	1	3	0	1	1	0	0	2	0	0	0	0	0	0	1	0
OR9K2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
OR6C74	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OR6C65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TMT1B	4	2	0	0	0	2	0	2	0	0	2	8	3	3	0	4	0	6	0	2	0	0	16	4	1
ITGA7	1315	1241	1026	2221	1781	1057	1674	1625	1088	2158	1735	1652	2231	2473	1597	2203	1261	3159	980	893	1011	1468	2635	1454	1173
BLOC1S1-RDH5	0	0	5	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	2	0	0	1
BLOC1S1	184	258	193	186	162	161	107	214	137	122	157	153	190	181	115	113	133	168	131	88	75	178	129	120	183
RDH5	10	33	46	42	43	11	31	43	14	33	36	23	43	55	17	12	24	26	14	10	15	25	17	18	20
CD63	7070	4756	2916	8117	4147	6725	4758	3729	6748	6580	3406	12418	8771	5817	4602	7375	3238	11037	2708	2354	3595	4831	9708	3857	2695
CD63-AS1	65	70	70	92	60	42	46	77	61	38	65	68	97	95	36	50	41	87	57	39	26	35	52	59	74
GDF11	2307	2317	2186	2934	2163	1947	2012	2289	2205	2054	1886	1386	2701	3121	890	1971	919	3062	1006	816	444	1110	1519	1241	1760
SARNP	1736	1631	1491	1329	1292	1383	1321	1430	1562	1019	1109	1420	1600	1325	1250	1252	1291	1754	1047	845	954	1115	1092	1330	1220
ORMDL2	511	325	241	352	265	519	254	272	501	207	246	695	419	319	232	520	187	660	190	161	164	220	602	242	205
DNAJC14	1051	1116	889	982	738	1079	760	709	945	766	625	1148	1342	961	634	964	575	1498	563	600	505	682	963	794	713
TMEM198B	269	486	387	549	592	175	536	513	184	451	515	176	577	792	219	408	225	598	244	154	138	280	284	264	327
MMP19	46	11	2	8	1	34	4	5	55	1	4	73	58	4	3	224	2	144	2	6	2	6	49	7	6
LOC124903120	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
PYM1	559	595	415	490	363	486	304	372	626	418	338	689	628	455	277	397	296	577	256	297	272	309	510	397	418
LOC124902941	28	30	17	21	13	16	13	21	36	19	16	40	28	22	15	19	34	34	18	15	9	21	16	23	12
DGKA	331	172	168	306	300	344	271	225	170	305	211	759	644	308	243	1057	220	1432	283	220	216	310	1477	284	190
PMEL	93	239	354	55	158	1928	92	35	116	196	1008	19448	203	261	73	34	1277	62	8	12	22	62	2594	32	6
CDK2	2743	2652	2093	1448	1554	1906	1316	2233	2547	1107	1758	2325	1942	1957	583	1230	1063	1741	880	428	361	936	1210	855	1580
RAB5B	3565	4550	3943	5297	5378	3398	6019	4455	3123	5870	4293	4508	4993	4945	4814	4014	5244	6552	3812	3790	4011	4832	4349	5562	3703
SUOX	504	608	493	890	813	540	744	676	495	811	703	531	847	815	290	595	336	946	350	248	219	456	668	426	296
IKZF4	866	1123	1192	1016	1061	658	1188	1040	803	1121	886	538	1096	1013	761	894	905	1318	710	711	671	883	470	930	775
LOC105369781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS26	2912	2285	1650	1737	1211	3140	1164	1300	3316	1158	1019	3737	2752	1422	1279	1846	1273	2841	958	838	1027	1187	2468	1276	1410
ERBB3	34	8	8	8	6	19	16	7	70	37	9	81	1012	20	26	18	21	8	8	20	19	22	18	20	15
LOC105369782	0	1	0	0	1	1	0	3	1	1	0	4	1	7	2	0	1	6	0	1	1	0	1	0	2
PA2G4	5621	5883	4258	3230	2667	6166	2288	3400	6013	2023	2573	6718	4331	3121	3698	3141	3481	4888	3075	2851	2758	3135	3292	3908	3541
RPL41	9888	12265	7913	11320	8812	9215	8901	9539	10303	8464	8203	10956	13551	9986	9746	6926	9803	10843	7229	5676	6818	9176	8183	8438	7213
